,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM),구매자지역(BUYER_AREA),구매자_시도명(B_SIDO_NM),구매자_시군구명(B_SIGNGU_NM),구매자_읍면동명(B_EMD_NM)
512,201804,2,3,5,1,1,1000,,,,,1060201.0,후레쉬우유,A,식료품 및 비주류음료,11710620.0,서울특별시,송파구,가락본동
514,201901,2,4,5,1,4,4000,,,,,1080102.0,소주,B,주류 및 담배,11380640.0,서울특별시,은평구,증산동
515,201903,1,3,5,1,1,69000,,,,,1011806.0,간편죽류,A,식료품 및 비주류음료,11290650.0,서울특별시,성북구,정릉제4동
516,201803,2,2,4,1,2,32000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11380690.0,서울특별시,은평구,진관동
517,201902,2,3,4,1,1,4000,,,,,1050202.0,저과즙음료,A,식료품 및 비주류음료,11290555.0,서울특별시,성북구,삼선동
519,201909,2,3,3,1,1,16000,,,,,1011201.0,분말카레,A,식료품 및 비주류음료,11230705.0,서울특별시,동대문구,청량리동
520,201912,2,5,5,1,3,14000,,,,,1010302.0,된장,A,식료품 및 비주류음료,11680720.0,서울특별시,강남구,일원본동
521,201807,1,3,5,1,5,6000,,,,,1010708.0,봉지라면,A,식료품 및 비주류음료,11710600.0,서울특별시,송파구,석촌동
524,201809,2,5,4,1,2,3000,,,,,1060201.0,후레쉬우유,A,식료품 및 비주류음료,11290555.0,서울특별시,성북구,삼선동
525,201803,1,5,5,1,1,4000,,,,,1020599.0,기타반생케익류,A,식료품 및 비주류음료,11470610.0,서울특별시,양천구,신월6동
526,201807,2,3,5,1,1,2000,,,,,1100101.0,담배,B,주류 및 담배,11290660.0,서울특별시,성북구,길음제1동
527,201908,1,6,4,1,1,6000,,,,,1020499.0,볼및기타,A,식료품 및 비주류음료,11620645.0,서울특별시,관악구,서원동
528,201905,2,5,5,1,1,13000,,,,,1020603.0,소맥스낵,A,식료품 및 비주류음료,11680720.0,서울특별시,강남구,일원본동
529,201901,2,4,5,1,2,2000,,,,,1060302.0,바나나우유,A,식료품 및 비주류음료,11320522.0,서울특별시,도봉구,도봉제2동
531,201808,1,4,1,1,1,1000,,,,,5050108.0,진열선반/장식선반,E,가정용품 및 가사 서비스,11215870.0,서울특별시,광진구,구의제3동
532,201811,1,7,2,1,1,1000,,,,,1050801.0,생수,A,식료품 및 비주류음료,11410720.0,서울특별시,서대문구,북가좌제2동
534,201911,2,5,5,1,8,30000,,,,,1010902.0,도시락류,A,식료품 및 비주류음료,11680590.0,서울특별시,강남구,삼성2동
535,201809,1,3,5,4,2,10000,,,,,1020601.0,옥수수스낵,A,식료품 및 비주류음료,11740580.0,서울특별시,강동구,암사제2동
536,201904,2,5,5,1,1,1000,,,,,1070108.0,조미채소,A,식료품 및 비주류음료,11710550.0,서울특별시,송파구,마천2동
538,201811,2,5,4,5,15,4000,,,,,1030106.0,케익/머핀,A,식료품 및 비주류음료,11320670.0,서울특별시,도봉구,쌍문제2동
539,201810,2,4,5,2,2,5000,,,,,1010205.0,소스류,A,식료품 및 비주류음료,11710550.0,서울특별시,송파구,마천2동
541,201808,1,4,5,1,3,24000,,,,,1020603.0,소맥스낵,A,식료품 및 비주류음료,11410565.0,서울특별시,서대문구,충현동
542,201803,1,4,4,1,4,33000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11710610.0,서울특별시,송파구,삼전동
543,201910,1,7,3,1,4,1000,,,,,1020404.0,초코바,A,식료품 및 비주류음료,11560650.0,서울특별시,영등포구,신길제3동
544,201810,2,4,6,1,2,22000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11650530.0,서울특별시,서초구,서초3동
545,201903,1,4,3,1,1,15000,,,,,5030301.0,건전지,E,가정용품 및 가사 서비스,11170520.0,서울특별시,용산구,용산2가동
546,201810,2,3,3,1,1,8000,,,,,1010213.0,드레싱류,A,식료품 및 비주류음료,11380520.0,서울특별시,은평구,불광제1동
547,201809,1,4,6,1,9,7000,,,,,1070105.0,과채류,A,식료품 및 비주류음료,11710647.0,서울특별시,송파구,위례동
548,201907,1,4,5,1,1,10000,,,,,2010303.0,생리대,E,가정용품 및 가사 서비스,11320513.0,서울특별시,도봉구,창제3동
551,201908,1,5,4,1,4,5000,,,,,1011407.0,어리굴젓,A,식료품 및 비주류음료,11140635.0,서울특별시,중구,약수동
552,201911,2,7,4,1,1,16000,,,,,2010302.0,미용티슈,E,가정용품 및 가사 서비스,11380570.0,서울특별시,은평구,대조동
554,201801,2,3,3,2,1,4000,,,,,1070105.0,과채류,A,식료품 및 비주류음료,11320512.0,서울특별시,도봉구,창제2동
555,201805,2,5,3,1,7,1000,,,,,1070303.0,굴조개류,A,식료품 및 비주류음료,11740560.0,서울특별시,강동구,고덕제2동
559,201904,2,4,2,1,1,2000,,,,,1011201.0,분말카레,A,식료품 및 비주류음료,11410685.0,서울특별시,서대문구,홍은제2동
561,201907,2,7,2,2,2,3000,,,,,1050102.0,콜라,A,식료품 및 비주류음료,11680650.0,서울특별시,강남구,역삼2동
562,201906,1,5,3,4,2,34000,,,,,1070106.0,엽채류,A,식료품 및 비주류음료,11230560.0,서울특별시,동대문구,전농제1동
563,201801,2,4,3,1,2,6000,,,,,1050302.0,컵/PET커피,A,식료품 및 비주류음료,11500510.0,서울특별시,강서구,염창동
564,201906,2,5,4,1,2,5000,,,,,1011804.0,가공밥,A,식료품 및 비주류음료,11410690.0,서울특별시,서대문구,남가좌제1동
567,201904,1,4,6,1,1,24000,,,,,1010708.0,봉지라면,A,식료품 및 비주류음료,11215750.0,서울특별시,광진구,중곡제2동
569,201805,2,3,6,1,3,19000,,,,,1010302.0,된장,A,식료품 및 비주류음료,11620695.0,서울특별시,관악구,신림동
570,201802,2,4,5,1,2,9000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11710620.0,서울특별시,송파구,가락본동
571,201901,2,5,6,2,1,32000,,,,,1010205.0,소스류,A,식료품 및 비주류음료,11710570.0,서울특별시,송파구,오금동
572,201802,1,3,4,1,1,1000,,,,,1060102.0,액상발효유,A,식료품 및 비주류음료,11680590.0,서울특별시,강남구,삼성2동
573,201903,2,2,3,1,1,14000,,,,,1030102.0,과자빵류,A,식료품 및 비주류음료,11710590.0,서울특별시,송파구,송파2동
574,201811,2,7,4,1,1,2000,,,,,4020205.0,조립모형/피규어,I,오락 및 문화,11410620.0,서울특별시,서대문구,홍제제1동
575,201909,1,3,3,2,2,15000,,,,,1011104.0,조리냉동식품,A,식료품 및 비주류음료,11320522.0,서울특별시,도봉구,도봉제2동
576,201908,1,4,4,1,1,3000,,,,,3010110.0,마스크팩,L,기타 상품 및 서비스,11350612.0,서울특별시,노원구,하계2동
577,201811,2,6,6,1,5,10000,,,,,5010701.0,일회용종이컵,E,가정용품 및 가사 서비스,11740550.0,서울특별시,강동구,고덕제1동
579,201804,2,1,6,2,1,13000,,,,,1020602.0,감자스낵,A,식료품 및 비주류음료,11560540.0,서울특별시,영등포구,여의동
580,201802,2,3,4,1,1,4000,,,,,1010604.0,캔햄류,A,식료품 및 비주류음료,11560605.0,서울특별시,영등포구,문래동
581,201810,2,2,3,1,1,6000,,,,,1070399.0,기타수산물,A,식료품 및 비주류음료,11230650.0,서울특별시,동대문구,장안제1동
582,201805,1,6,6,1,1,7000,,,,,1011603.0,연두부,A,식료품 및 비주류음료,11680656.0,서울특별시,강남구,도곡2동
583,201809,2,4,3,1,1,2000,,,,,5030301.0,건전지,E,가정용품 및 가사 서비스,11560560.0,서울특별시,영등포구,당산제2동
585,201803,2,4,6,1,3,10000,,,,,1010709.0,용기라면,A,식료품 및 비주류음료,11350619.0,서울특별시,노원구,중계본동
587,201908,2,7,2,1,1,3000,,,,,1020402.0,판초콜릿,A,식료품 및 비주류음료,11710650.0,서울특별시,송파구,잠실본동
588,201802,2,7,3,1,18,140000,,,,,1020704.0,씨리얼,A,식료품 및 비주류음료,11470530.0,서울특별시,양천구,목3동
589,201809,2,5,5,1,1,1000,,,,,1070201.0,달걀,A,식료품 및 비주류음료,11320710.0,서울특별시,도봉구,방학제3동
590,201909,1,4,5,10,2,5000,,,,,3020203.0,헤어트리트먼트/헤어팩,L,기타 상품 및 서비스,11380510.0,서울특별시,은평구,녹번동
591,201807,2,6,2,1,1,8000,,,,,1010804.0,참치 통조림,A,식료품 및 비주류음료,11590530.0,서울특별시,동작구,상도제1동
592,201904,1,5,4,2,1,11000,,,,,1011201.0,분말카레,A,식료품 및 비주류음료,11710670.0,서울특별시,송파구,잠실2동
593,201909,1,2,3,1,1,4000,,,,,3010110.0,마스크팩,L,기타 상품 및 서비스,11320660.0,서울특별시,도봉구,쌍문제1동
594,201808,1,5,4,1,1,6000,,,,,5020205.0,쓰레기봉투,E,가정용품 및 가사 서비스,11410620.0,서울특별시,서대문구,홍제제1동
595,201812,2,4,3,1,5,140000,,,,,1050602.0,보리차음료,A,식료품 및 비주류음료,11380552.0,서울특별시,은평구,갈현제2동
596,201803,2,5,4,1,2,30000,,,,,1010402.0,후추가루,A,식료품 및 비주류음료,11110580.0,서울특별시,종로구,교남동
597,201907,1,4,3,1,1,2000,,,,,1070203.0,새알기타류,A,식료품 및 비주류음료,11500540.0,서울특별시,강서구,화곡제1동
598,201907,2,4,3,1,5,20000,,,,,1080106.0,진/보드카/럼,B,주류 및 담배,11230545.0,서울특별시,동대문구,제기동
599,201901,2,3,4,2,3,5000,,,,,1011306.0,김,A,식료품 및 비주류음료,11380530.0,서울특별시,은평구,불광제2동
600,201910,2,2,5,3,1,23000,,,,,1011902.0,유아용음료,A,식료품 및 비주류음료,11680656.0,서울특별시,강남구,도곡2동
601,201812,2,6,4,1,1,14000,,,,,1020404.0,초코바,A,식료품 및 비주류음료,11680750.0,서울특별시,강남구,수서동
603,201910,2,5,5,1,3,5000,,,,,1070201.0,달걀,A,식료품 및 비주류음료,11170560.0,서울특별시,용산구,원효로제1동
604,201903,2,2,3,1,1,6000,,,,,1060204.0,저지방우유,A,식료품 및 비주류음료,11710720.0,서울특별시,송파구,잠실7동
605,201904,2,4,6,1,1,5000,,,,,1050101.0,사이다,A,식료품 및 비주류음료,11710646.0,서울특별시,송파구,장지동
606,201910,2,4,3,1,4,4000,,,,,1020401.0,초코과자초콜릿,A,식료품 및 비주류음료,11320670.0,서울특별시,도봉구,쌍문제2동
607,201902,1,7,5,1,1,15000,,,,,1010712.0,우동,A,식료품 및 비주류음료,11650531.0,서울특별시,서초구,서초4동
608,201905,2,4,4,1,2,7000,,,,,1070302.0,미가공해수어,A,식료품 및 비주류음료,11650531.0,서울특별시,서초구,서초4동
609,201905,2,4,5,1,4,8000,,,,,1020603.0,소맥스낵,A,식료품 및 비주류음료,11230560.0,서울특별시,동대문구,전농제1동
610,201907,1,3,5,1,2,5000,,,,,2010503.0,탈취제,E,가정용품 및 가사 서비스,11170520.0,서울특별시,용산구,용산2가동
611,201802,2,2,5,5,1,3000,,,,,4010501.0,스케치북,J,교육,11680670.0,서울특별시,강남구,개포2동
612,201811,2,5,5,24,3,10000,,,,,1020304.0,초코과자비스켓,A,식료품 및 비주류음료,11560540.0,서울특별시,영등포구,여의동
613,201903,1,3,4,1,4,42000,,,,,1060199.0,기타발효유류,A,식료품 및 비주류음료,11290600.0,서울특별시,성북구,안암동
615,201808,2,5,5,1,3,1000,,,,,1098802.0,국산차선물세트,A,식료품 및 비주류음료,11710570.0,서울특별시,송파구,오금동
616,201910,2,4,2,1,2,4000,,,,,1030101.0,식빵류,A,식료품 및 비주류음료,11650530.0,서울특별시,서초구,서초3동
617,201910,1,5,5,1,1,1000,,,,,1050101.0,사이다,A,식료품 및 비주류음료,11500550.0,서울특별시,강서구,화곡제2동
618,201902,2,3,5,1,1,10000,,,,,5010203.0,냄비,E,가정용품 및 가사 서비스,11305600.0,서울특별시,강북구,번2동
619,201811,2,4,4,1,1,4000,,,,,3028802.0,헤어용품세트,L,기타 상품 및 서비스,11290620.0,서울특별시,성북구,정릉제1동
620,201812,1,6,4,1,1,14000,,,,,1011604.0,유부,A,식료품 및 비주류음료,11710650.0,서울특별시,송파구,잠실본동
621,201906,2,3,3,1,4,12000,,,,,1070108.0,조미채소,A,식료품 및 비주류음료,11650600.0,서울특별시,서초구,방배1동
623,201908,2,3,6,3,1,50000,,,,,1050302.0,컵/PET커피,A,식료품 및 비주류음료,11305555.0,서울특별시,강북구,송천동
624,201803,2,5,5,1,1,19000,,,,,1011602.0,순두부,A,식료품 및 비주류음료,11620605.0,서울특별시,관악구,은천동
625,201808,2,3,5,1,1,19000,,,,,1010714.0,파스타류,A,식료품 및 비주류음료,11680650.0,서울특별시,강남구,역삼2동
626,201905,2,4,5,1,2,12000,,,,,3020102.0,바디로션/크림,L,기타 상품 및 서비스,11680660.0,서울특별시,강남구,개포1동
627,201805,2,5,4,1,1,5000,,,,,1070110.0,특용작물,A,식료품 및 비주류음료,11410620.0,서울특별시,서대문구,홍제제1동
628,201902,2,3,5,1,9,11000,,,,,1030103.0,호빵/찐빵류,A,식료품 및 비주류음료,11710680.0,서울특별시,송파구,잠실3동
629,201901,1,6,1,1,1,4000,,,,,1011903.0,유아용과자,A,식료품 및 비주류음료,11410585.0,서울특별시,서대문구,신촌동
630,201912,2,7,5,1,1,9000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11710562.0,서울특별시,송파구,방이2동
631,201803,2,7,2,2,1,8000,,,,,1060102.0,액상발효유,A,식료품 및 비주류음료,11500560.0,서울특별시,강서구,화곡제3동
634,201804,1,3,5,1,2,6000,,,,,1050302.0,컵/PET커피,A,식료품 및 비주류음료,11380625.0,서울특별시,은평구,역촌동
635,201809,2,4,6,1,4,12000,,,,,2010306.0,물티슈,E,가정용품 및 가사 서비스,11710561.0,서울특별시,송파구,방이1동
636,201803,2,4,5,1,1,11000,,,,,1011104.0,조리냉동식품,A,식료품 및 비주류음료,11680630.0,서울특별시,강남구,대치4동
637,201906,2,4,5,2,1,6000,,,,,1080102.0,소주,B,주류 및 담배,11305555.0,서울특별시,강북구,송천동
639,201807,1,3,4,11,3,2000,,,,,1010902.0,도시락류,A,식료품 및 비주류음료,11530740.0,서울특별시,구로구,개봉제1동
640,201905,1,3,4,1,1,44000,,,,,1020602.0,감자스낵,A,식료품 및 비주류음료,11350695.0,서울특별시,노원구,상계6.7동
641,201905,2,4,3,1,1,20000,,,,,1070106.0,엽채류,A,식료품 및 비주류음료,11410660.0,서울특별시,서대문구,홍은제1동
642,201805,2,5,4,2,4,5000,,,,,1011104.0,조리냉동식품,A,식료품 및 비주류음료,11470550.0,서울특별시,양천구,목5동
643,201809,1,6,6,1,1,1000,,,,,1050616.0,미과즙음료,A,식료품 및 비주류음료,11380520.0,서울특별시,은평구,불광제1동
644,201912,2,5,5,1,17,2000,,,,,1060303.0,커피우유,A,식료품 및 비주류음료,11305620.0,서울특별시,강북구,수유2동
645,201905,2,5,3,1,1,2000,,,,,1080102.0,소주,B,주류 및 담배,11410660.0,서울특별시,서대문구,홍은제1동
647,201901,2,4,3,1,1,5000,,,,,1060204.0,저지방우유,A,식료품 및 비주류음료,11380552.0,서울특별시,은평구,갈현제2동
649,201901,1,4,6,3,1,1000,,,,,6110399.0,기타노트북/태블릿액세서리,L,기타 상품 및 서비스,11500641.0,서울특별시,강서구,방화제3동
651,201902,2,4,4,1,1,7000,,,,,1070108.0,조미채소,A,식료품 및 비주류음료,11680700.0,서울특별시,강남구,세곡동
652,201908,2,4,4,1,3,2000,,,,,1011101.0,만두류,A,식료품 및 비주류음료,11650621.0,서울특별시,서초구,방배4동
653,201808,2,2,4,2,1,4000,,,,,1070105.0,과채류,A,식료품 및 비주류음료,11530510.0,서울특별시,구로구,신도림동
655,201907,2,2,4,1,1,2000,,,,,1011601.0,일반두부,A,식료품 및 비주류음료,11710650.0,서울특별시,송파구,잠실본동
656,201911,2,4,4,1,1,5000,,,,,1070108.0,조미채소,A,식료품 및 비주류음료,11410555.0,서울특별시,서대문구,북아현동
657,201910,1,4,5,1,1,5000,,,,,1010213.0,드레싱류,A,식료품 및 비주류음료,11350630.0,서울특별시,노원구,상계1동
658,201805,1,2,4,2,1,13000,,,,,1020603.0,소맥스낵,A,식료품 및 비주류음료,11680700.0,서울특별시,강남구,세곡동
659,201806,1,4,4,1,2,8000,,,,,1050802.0,탄산수,A,식료품 및 비주류음료,11710642.0,서울특별시,송파구,문정2동
660,201808,2,3,3,5,2,2000,,,,,1010715.0,떡볶이,A,식료품 및 비주류음료,11380552.0,서울특별시,은평구,갈현제2동
662,201901,2,5,2,1,1,2000,,,,,1010207.0,물엿,A,식료품 및 비주류음료,11530540.0,서울특별시,구로구,구로제3동
663,201801,1,4,4,1,1,6000,,,,,1020502.0,초코파이,A,식료품 및 비주류음료,11710647.0,서울특별시,송파구,위례동
664,201909,1,4,5,1,1,8000,,,,,1050299.0,기타과채류음료,A,식료품 및 비주류음료,11350665.0,서울특별시,노원구,상계3.4동
665,201911,2,4,4,1,1,16000,,,,,1011711.0,프리믹스,A,식료품 및 비주류음료,11470550.0,서울특별시,양천구,목5동
666,201904,2,3,4,1,4,32000,,,,,1070105.0,과채류,A,식료품 및 비주류음료,11305545.0,서울특별시,강북구,송중동
667,201808,2,5,5,1,3,29000,,,,,1020401.0,초코과자초콜릿,A,식료품 및 비주류음료,11530520.0,서울특별시,구로구,구로제1동
669,201803,2,3,6,5,2,2000,,,,,1020202.0,소프트캔디,A,식료품 및 비주류음료,11410685.0,서울특별시,서대문구,홍은제2동
670,201910,2,6,4,1,1,51000,,,,,1080109.0,와인,B,주류 및 담배,11215860.0,서울특별시,광진구,구의제2동
671,201906,2,3,5,1,3,3000,,,,,1020504.0,크림케익,A,식료품 및 비주류음료,11710570.0,서울특별시,송파구,오금동
673,201803,2,4,5,1,1,65000,,,,,2010304.0,기저귀,E,가정용품 및 가사 서비스,11260620.0,서울특별시,중랑구,묵제1동
675,201807,2,4,5,1,2,6000,,,,,1070110.0,특용작물,A,식료품 및 비주류음료,11305555.0,서울특별시,강북구,송천동
676,201905,2,3,2,1,3,1000,,,,,1100101.0,담배,B,주류 및 담배,11440720.0,서울특별시,마포구,성산제1동
679,201907,2,4,4,2,1,9000,,,,,1050101.0,사이다,A,식료품 및 비주류음료,11440555.0,서울특별시,마포구,아현동
680,201907,2,5,5,2,1,27000,,,,,1080101.0,맥주,B,주류 및 담배,11590650.0,서울특별시,동작구,사당제4동
681,201905,2,2,5,1,1,3000,,,,,1070106.0,엽채류,A,식료품 및 비주류음료,11410685.0,서울특별시,서대문구,홍은제2동
682,201811,2,6,6,2,1,3000,,,,,9030105.0,아동샌들/아쿠아슈즈,C,의류 및 신발,11230600.0,서울특별시,동대문구,답십리제1동
683,201909,2,4,5,1,1,52000,,,,,2010407.0,배수구세정제,E,가정용품 및 가사 서비스,11530510.0,서울특별시,구로구,신도림동
684,201810,2,3,6,1,1,7000,,,,,1011602.0,순두부,A,식료품 및 비주류음료,11290620.0,서울특별시,성북구,정릉제1동
685,201904,2,2,4,1,1,1000,,,,,1080109.0,와인,B,주류 및 담배,11545630.0,서울특별시,금천구,독산제3동
686,201802,2,5,4,2,1,29000,,,,,5010204.0,뚝배기,E,가정용품 및 가사 서비스,11290705.0,서울특별시,성북구,종암동
688,201910,1,4,2,7,1,9000,,,,,5020101.0,욕실발판및매트,E,가정용품 및 가사 서비스,11410565.0,서울특별시,서대문구,충현동
689,201901,2,2,3,2,1,255000,,,,,1020404.0,초코바,A,식료품 및 비주류음료,11530740.0,서울특별시,구로구,개봉제1동
690,201911,2,4,4,5,12,1000,,,,,1080101.0,맥주,B,주류 및 담배,11320521.0,서울특별시,도봉구,도봉제1동
692,201907,1,5,4,1,1,5000,,,,,1011006.0,반찬류,A,식료품 및 비주류음료,11470640.0,서울특별시,양천구,신정3동
693,201912,2,4,5,1,2,14000,,,,,1110101.0,한식,A,식료품 및 비주류음료,11260520.0,서울특별시,중랑구,면목제2동
696,201907,2,4,4,4,1,48000,,,,,1020307.0,맛밤류,A,식료품 및 비주류음료,11590530.0,서울특별시,동작구,상도제1동
697,201903,2,4,4,1,1,132000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11650510.0,서울특별시,서초구,서초1동
698,201808,1,4,5,1,1,2000,,,,,1020603.0,소맥스낵,A,식료품 및 비주류음료,11305606.0,서울특별시,강북구,번3동
699,201808,2,4,4,3,1,13000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11410620.0,서울특별시,서대문구,홍제제1동
702,201907,1,3,5,1,7,2000,,,,,1050403.0,커피믹스,A,식료품 및 비주류음료,11530510.0,서울특별시,구로구,신도림동
703,201809,2,2,6,1,1,1000,,,,,1050908.0,숙취해소음료,A,식료품 및 비주류음료,11410660.0,서울특별시,서대문구,홍은제1동
704,201811,2,3,5,1,2,25000,,,,,5030401.0,문풍지/방충망,E,가정용품 및 가사 서비스,11710632.0,서울특별시,송파구,가락2동
705,201806,2,4,3,1,3,32000,,,,,1020401.0,초코과자초콜릿,A,식료품 및 비주류음료,11470550.0,서울특별시,양천구,목5동
706,201805,1,4,5,1,1,7000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11470600.0,서울특별시,양천구,신월5동
707,201912,2,4,6,2,1,1000,,,,,1011602.0,순두부,A,식료품 및 비주류음료,11680660.0,서울특별시,강남구,개포1동
708,201804,2,4,6,1,1,5000,,,,,5010703.0,일회용용기,E,가정용품 및 가사 서비스,11710561.0,서울특별시,송파구,방이1동
709,201904,1,4,5,1,1,17000,,,,,1010801.0,농산물 병/통조림,A,식료품 및 비주류음료,11560650.0,서울특별시,영등포구,신길제3동
710,201811,2,4,2,1,4,9000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11650600.0,서울특별시,서초구,방배1동
711,201911,2,2,4,1,2,3000,,,,,1120499.0,기타건강보조식품,A,식료품 및 비주류음료,11440655.0,서울특별시,마포구,서강동
712,201908,2,4,2,4,1,7000,,,,,1070109.0,과수,A,식료품 및 비주류음료,11500550.0,서울특별시,강서구,화곡제2동
713,201803,2,3,1,1,3,15000,,,,,1070105.0,과채류,A,식료품 및 비주류음료,11620565.0,서울특별시,관악구,성현동
715,201804,2,4,5,1,1,1000,,,,,1010213.0,드레싱류,A,식료품 및 비주류음료,11110515.0,서울특별시,종로구,청운효자동
717,201907,1,3,5,1,1,25000,,,,,1020301.0,소프트비스켓,A,식료품 및 비주류음료,11590520.0,서울특별시,동작구,노량진제2동
718,201802,2,3,5,1,1,4000,,,,,1010301.0,간장,A,식료품 및 비주류음료,11230650.0,서울특별시,동대문구,장안제1동
719,201811,2,4,6,1,1,2000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11350621.0,서울특별시,노원구,중계1동
720,201808,1,2,3,1,1,21000,,,,,1020303.0,샌드비스켓,A,식료품 및 비주류음료,11500593.0,서울특별시,강서구,화곡제8동
721,201905,2,4,4,1,4,9000,,,,,1069902.0,치즈,A,식료품 및 비주류음료,11470600.0,서울특별시,양천구,신월5동
722,201806,2,5,4,1,1,7000,,,,,1080110.0,탁주,B,주류 및 담배,11710510.0,서울특별시,송파구,풍납1동
723,201910,2,2,4,1,1,7000,,,,,1069902.0,치즈,A,식료품 및 비주류음료,11710670.0,서울특별시,송파구,잠실2동
725,201910,1,2,5,1,1,1000,,,,,1050101.0,사이다,A,식료품 및 비주류음료,11140665.0,서울특별시,중구,동화동
726,201802,2,4,3,1,4,13000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11170560.0,서울특별시,용산구,원효로제1동
727,201910,2,4,5,1,1,1000,,,,,1010408.0,볶음깨,A,식료품 및 비주류음료,11170685.0,서울특별시,용산구,한남동
729,201903,2,5,5,1,1,3000,,,,,1030102.0,과자빵류,A,식료품 및 비주류음료,11410655.0,서울특별시,서대문구,홍제제2동
730,201908,1,5,5,2,1,2000,,,,,4020206.0,자동차/기차/비행기,I,오락 및 문화,11530760.0,서울특별시,구로구,개봉제3동
731,201902,2,5,4,1,1,16000,,,,,1060101.0,드링크발효유,A,식료품 및 비주류음료,11350621.0,서울특별시,노원구,중계1동
732,201807,1,4,3,5,7,1000,,,,,1070201.0,달걀,A,식료품 및 비주류음료,11710562.0,서울특별시,송파구,방이2동
733,201905,2,2,6,1,1,4000,,,,,1011001.0,배추김치류,A,식료품 및 비주류음료,11740570.0,서울특별시,강동구,암사제1동
734,201811,2,4,2,1,1,6000,,,,,1050302.0,컵/PET커피,A,식료품 및 비주류음료,11230730.0,서울특별시,동대문구,휘경제2동
736,201808,1,4,5,1,1,5000,,,,,1050403.0,커피믹스,A,식료품 및 비주류음료,11500611.0,서울특별시,강서구,발산제1동
737,201804,2,1,3,1,4,7000,,,,,1020302.0,하드비스켓,A,식료품 및 비주류음료,11500550.0,서울특별시,강서구,화곡제2동
738,201908,1,5,4,1,2,25000,,,,,5020105.0,욕실용소품,E,가정용품 및 가사 서비스,11350700.0,서울특별시,노원구,상계8동
740,201910,2,3,5,1,1,7000,,,,,1011802.0,간편면류,A,식료품 및 비주류음료,11290705.0,서울특별시,성북구,종암동
741,201809,1,3,6,1,1,21000,,,,,2010503.0,탈취제,E,가정용품 및 가사 서비스,11350619.0,서울특별시,노원구,중계본동
